algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.207400,9523,8
quicksort,random,1000,0.049100,18476,6
quickselect,random,1000,0.023300,5079,1
mergesort,random,10000,0.704200,126960,11
quicksort,random,10000,0.701500,237260,9
quickselect,random,10000,0.079800,34939,1
mergesort,random,100000,8.109500,1639656,14
quicksort,random,100000,8.436900,3082305,11
quickselect,random,100000,0.961100,580360,1
mergesort,random,1000000,92.991000,19887469,18
quicksort,random,1000000,92.861300,37460596,13
quickselect,random,1000000,9.048400,5565190,1
mergesort,sorted,1000,0.011300,4236,8
quicksort,sorted,1000,0.033100,16858,6
quickselect,sorted,1000,0.006200,5496,1
mergesort,sorted,10000,0.156900,59248,11
quicksort,sorted,10000,0.376600,249639,8
quickselect,sorted,10000,0.043100,58621,1
mergesort,sorted,100000,2.137600,744016,14
quicksort,sorted,100000,4.341800,3230772,11
quickselect,sorted,100000,0.357000,491396,1
mergesort,sorted,1000000,25.086600,9071040,18
quicksort,sorted,1000000,56.325100,40882065,13
quickselect,sorted,1000000,4.373000,6409026,1
mergesort,duplicates,1000,0.017000,9076,8
quicksort,duplicates,1000,0.016100,6515,2
quickselect,duplicates,1000,0.012400,4278,1
mergesort,duplicates,10000,0.406200,121271,11
quicksort,duplicates,10000,0.120700,54005,2
quickselect,duplicates,10000,0.061300,33055,1
mergesort,duplicates,100000,3.781100,1562873,14
quicksort,duplicates,100000,1.188400,539003,2
quickselect,duplicates,100000,0.800100,430176,1
mergesort,duplicates,1000000,43.416800,18920907,18
quicksort,duplicates,1000000,10.617100,5399514,2
quickselect,duplicates,1000000,6.454800,3099649,1
